development server only. no energy number from this machine means anything.
model models/Qwen3-1.7B-BF16.gguf
ctx   3072  (config.CTX_SIZE is 3072)
flags --n-gpu-layers 999 --parallel 1 --no-context-shift --no-mmap --no-cont-batching
0.00.083.827 W DEPRECATED: --mmap and --no-mmap are deprecated. use --load-mode mmap instead
0.00.083.990 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.084.723 W srv  llama_server: -----------------
0.00.084.724 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.084.724 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.084.725 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.084.725 W srv  llama_server: -----------------
0.00.086.185 I srv    load_model: loading model 'models/Qwen3-1.7B-BF16.gguf'
0.00.280.154 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.414.293 I cmn          init: llama threadpool init, n_threads = 8
0.02.476.643 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.02.483.404 I srv  llama_server: model loaded
0.02.483.419 I srv  llama_server: listening on http://127.0.0.1:8080
0.02.483.420 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.02.483.420 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
7.34.746.879 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
39.22.542.875 I slot print_timing: id  0 | task 875 | prompt eval time =      89.64 ms /   154 tokens (    0.58 ms per token,  1717.91 tokens per second)
39.22.542.877 I slot print_timing: id  0 | task 875 |        eval time =    2917.74 ms /   191 tokens (   15.36 ms per token,    65.12 tokens per second)
39.22.542.877 I slot print_timing: id  0 | task 875 |       total time =    3007.38 ms /   345 tokens
39.22.542.878 I slot print_timing: id  0 | task 875 |    graphs reused =       1045
39.22.542.901 I slot      release: id  0 | task 875 | stop processing: n_tokens = 344, truncated = 0
39.22.544.163 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.604 (> 0.100 thold), f_keep = 0.279
39.22.548.297 I slot launch_slot_: id  0 | task 1067 | processing task, is_child = 0
39.24.732.927 I slot print_timing: id  0 | task 1067 | prompt eval time =      90.22 ms /   159 tokens (    0.57 ms per token,  1762.34 tokens per second)
39.24.732.929 I slot print_timing: id  0 | task 1067 |        eval time =    2094.40 ms /   137 tokens (   15.40 ms per token,    64.94 tokens per second)
39.24.732.929 I slot print_timing: id  0 | task 1067 |       total time =    2184.62 ms /   296 tokens
39.24.732.929 I slot print_timing: id  0 | task 1067 |    graphs reused =       1179
39.24.732.950 I slot      release: id  0 | task 1067 | stop processing: n_tokens = 295, truncated = 0
39.24.734.830 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.565 (> 0.100 thold), f_keep = 0.325
39.24.738.021 I slot launch_slot_: id  0 | task 1205 | processing task, is_child = 0
39.26.463.735 I slot print_timing: id  0 | task 1205 | prompt eval time =     105.22 ms /   170 tokens (    0.62 ms per token,  1615.65 tokens per second)
39.26.463.738 I slot print_timing: id  0 | task 1205 |        eval time =    1620.48 ms /   106 tokens (   15.43 ms per token,    64.80 tokens per second)
39.26.463.738 I slot print_timing: id  0 | task 1205 |       total time =    1725.71 ms /   276 tokens
39.26.463.739 I slot print_timing: id  0 | task 1205 |    graphs reused =       1282
39.26.463.765 I slot      release: id  0 | task 1205 | stop processing: n_tokens = 275, truncated = 0
39.26.464.939 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.611 (> 0.100 thold), f_keep = 0.349
39.26.468.624 I slot launch_slot_: id  0 | task 1312 | processing task, is_child = 0
39.29.567.528 I slot print_timing: id  0 | task 1312 | n_gen =    196, tg =  64.80 t/s, tg_3s =  65.14 t/s
39.31.291.582 I slot print_timing: id  0 | task 1312 | prompt eval time =      89.78 ms /   157 tokens (    0.57 ms per token,  1748.62 tokens per second)
39.31.291.584 I slot print_timing: id  0 | task 1312 |        eval time =    4733.17 ms /   307 tokens (   15.47 ms per token,    64.65 tokens per second)
39.31.291.584 I slot print_timing: id  0 | task 1312 |       total time =    4822.95 ms /   464 tokens
39.31.291.584 I slot print_timing: id  0 | task 1312 |    graphs reused =       1586
39.31.291.597 I slot      release: id  0 | task 1312 | stop processing: n_tokens = 463, truncated = 0
39.31.293.105 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.667 (> 0.100 thold), f_keep = 0.207
39.31.299.955 I slot launch_slot_: id  0 | task 1620 | processing task, is_child = 0
39.32.626.872 I slot print_timing: id  0 | task 1620 | prompt eval time =      90.77 ms /   144 tokens (    0.63 ms per token,  1586.43 tokens per second)
39.32.626.874 I slot print_timing: id  0 | task 1620 |        eval time =    1236.14 ms /    81 tokens (   15.45 ms per token,    64.72 tokens per second)
39.32.626.875 I slot print_timing: id  0 | task 1620 |       total time =    1326.91 ms /   225 tokens
39.32.626.875 I slot print_timing: id  0 | task 1620 |    graphs reused =       1665
39.32.626.887 I slot      release: id  0 | task 1620 | stop processing: n_tokens = 224, truncated = 0
39.32.628.113 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.604 (> 0.100 thold), f_keep = 0.429
39.32.630.915 I slot launch_slot_: id  0 | task 1702 | processing task, is_child = 0
39.35.681.113 I slot print_timing: id  0 | task 1702 | prompt eval time =      92.32 ms /   159 tokens (    0.58 ms per token,  1722.29 tokens per second)
39.35.681.115 I slot print_timing: id  0 | task 1702 |        eval time =    2957.87 ms /   192 tokens (   15.49 ms per token,    64.57 tokens per second)
39.35.681.115 I slot print_timing: id  0 | task 1702 |       total time =    3050.19 ms /   351 tokens
39.35.681.115 I slot print_timing: id  0 | task 1702 |    graphs reused =       1854
39.35.681.144 I slot      release: id  0 | task 1702 | stop processing: n_tokens = 350, truncated = 0
39.35.682.461 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.608 (> 0.100 thold), f_keep = 0.274
39.35.688.240 I slot launch_slot_: id  0 | task 1895 | processing task, is_child = 0
39.38.714.084 I slot print_timing: id  0 | task 1895 | prompt eval time =      90.44 ms /   158 tokens (    0.57 ms per token,  1747.11 tokens per second)
39.38.714.087 I slot print_timing: id  0 | task 1895 |        eval time =    2935.40 ms /   191 tokens (   15.45 ms per token,    64.73 tokens per second)
39.38.714.087 I slot print_timing: id  0 | task 1895 |       total time =    3025.84 ms /   349 tokens
39.38.714.088 I slot print_timing: id  0 | task 1895 |    graphs reused =       2042
39.38.714.105 I slot      release: id  0 | task 1895 | stop processing: n_tokens = 348, truncated = 0
39.38.715.302 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.653 (> 0.100 thold), f_keep = 0.276
39.38.723.674 I slot launch_slot_: id  0 | task 2087 | processing task, is_child = 0
39.40.979.225 I slot print_timing: id  0 | task 2087 | prompt eval time =      92.46 ms /   147 tokens (    0.63 ms per token,  1589.86 tokens per second)
39.40.979.227 I slot print_timing: id  0 | task 2087 |        eval time =    2163.08 ms /   141 tokens (   15.45 ms per token,    64.72 tokens per second)
39.40.979.227 I slot print_timing: id  0 | task 2087 |       total time =    2255.54 ms /   288 tokens
39.40.979.227 I slot print_timing: id  0 | task 2087 |    graphs reused =       2180
39.40.979.254 I slot      release: id  0 | task 2087 | stop processing: n_tokens = 287, truncated = 0
39.40.980.766 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.585 (> 0.100 thold), f_keep = 0.334
39.40.987.869 I slot launch_slot_: id  0 | task 2229 | processing task, is_child = 0
39.43.035.183 I slot print_timing: id  0 | task 2229 | prompt eval time =     105.01 ms /   164 tokens (    0.64 ms per token,  1561.74 tokens per second)
39.43.035.185 I slot print_timing: id  0 | task 2229 |        eval time =    1942.29 ms /   126 tokens (   15.54 ms per token,    64.36 tokens per second)
39.43.035.186 I slot print_timing: id  0 | task 2229 |       total time =    2047.31 ms /   290 tokens
39.43.035.186 I slot print_timing: id  0 | task 2229 |    graphs reused =       2303
39.43.035.213 I slot      release: id  0 | task 2229 | stop processing: n_tokens = 289, truncated = 0
39.43.036.379 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.653 (> 0.100 thold), f_keep = 0.332
39.43.041.571 I slot launch_slot_: id  0 | task 2356 | processing task, is_child = 0
39.44.299.532 I slot print_timing: id  0 | task 2356 | prompt eval time =      89.67 ms /   147 tokens (    0.61 ms per token,  1639.34 tokens per second)
39.44.299.534 I slot print_timing: id  0 | task 2356 |        eval time =    1168.28 ms /    73 tokens (   16.23 ms per token,    61.63 tokens per second)
39.44.299.535 I slot print_timing: id  0 | task 2356 |       total time =    1257.95 ms /   220 tokens
39.44.299.535 I slot print_timing: id  0 | task 2356 |    graphs reused =       2374
39.44.299.569 I slot      release: id  0 | task 2356 | stop processing: n_tokens = 219, truncated = 0
39.44.300.814 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.571 (> 0.100 thold), f_keep = 0.438
39.44.301.411 I slot launch_slot_: id  0 | task 2430 | processing task, is_child = 0
39.46.738.616 I slot print_timing: id  0 | task 2430 | prompt eval time =     104.96 ms /   168 tokens (    0.62 ms per token,  1600.56 tokens per second)
39.46.738.618 I slot print_timing: id  0 | task 2430 |        eval time =    2332.24 ms /   151 tokens (   15.55 ms per token,    64.32 tokens per second)
39.46.738.619 I slot print_timing: id  0 | task 2430 |       total time =    2437.20 ms /   319 tokens
39.46.738.619 I slot print_timing: id  0 | task 2430 |    graphs reused =       2522
39.46.738.647 I slot      release: id  0 | task 2430 | stop processing: n_tokens = 318, truncated = 0
39.46.739.752 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.561 (> 0.100 thold), f_keep = 0.302
39.46.742.190 I slot launch_slot_: id  0 | task 2582 | processing task, is_child = 0
39.49.847.830 I slot print_timing: id  0 | task 2582 | n_gen =    195, tg =  64.66 t/s, tg_3s =  64.99 t/s
39.52.850.674 I slot print_timing: id  0 | task 2582 | prompt eval time =     105.32 ms /   171 tokens (    0.62 ms per token,  1623.56 tokens per second)
39.52.850.676 I slot print_timing: id  0 | task 2582 |        eval time =    6003.15 ms /   387 tokens (   15.55 ms per token,    64.30 tokens per second)
39.52.850.677 I slot print_timing: id  0 | task 2582 |       total time =    6108.48 ms /   558 tokens
39.52.850.677 I slot print_timing: id  0 | task 2582 |    graphs reused =       2905
39.52.850.698 I slot      release: id  0 | task 2582 | stop processing: n_tokens = 557, truncated = 0
39.52.851.915 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.542 (> 0.100 thold), f_keep = 0.172
39.52.856.882 I slot launch_slot_: id  0 | task 2970 | processing task, is_child = 0
39.55.107.137 I slot print_timing: id  0 | task 2970 | prompt eval time =     105.58 ms /   177 tokens (    0.60 ms per token,  1676.37 tokens per second)
39.55.107.140 I slot print_timing: id  0 | task 2970 |        eval time =    2144.66 ms /   139 tokens (   15.54 ms per token,    64.35 tokens per second)
39.55.107.140 I slot print_timing: id  0 | task 2970 |       total time =    2250.24 ms /   316 tokens
39.55.107.141 I slot print_timing: id  0 | task 2970 |    graphs reused =       3041
39.55.107.168 I slot      release: id  0 | task 2970 | stop processing: n_tokens = 315, truncated = 0
39.55.108.301 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.662 (> 0.100 thold), f_keep = 0.305
39.55.111.596 I slot launch_slot_: id  0 | task 3110 | processing task, is_child = 0
39.56.520.046 I slot print_timing: id  0 | task 3110 | prompt eval time =      89.58 ms /   145 tokens (    0.62 ms per token,  1618.63 tokens per second)
39.56.520.049 I slot print_timing: id  0 | task 3110 |        eval time =    1318.86 ms /    86 tokens (   15.52 ms per token,    64.45 tokens per second)
39.56.520.049 I slot print_timing: id  0 | task 3110 |       total time =    1408.44 ms /   231 tokens
39.56.520.049 I slot print_timing: id  0 | task 3110 |    graphs reused =       3125
39.56.520.069 I slot      release: id  0 | task 3110 | stop processing: n_tokens = 230, truncated = 0
39.56.521.255 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.585 (> 0.100 thold), f_keep = 0.417
39.56.523.999 I slot launch_slot_: id  0 | task 3197 | processing task, is_child = 0
39.58.992.282 I slot print_timing: id  0 | task 3197 | prompt eval time =     104.87 ms /   164 tokens (    0.64 ms per token,  1563.87 tokens per second)
39.58.992.284 I slot print_timing: id  0 | task 3197 |        eval time =    2363.41 ms /   153 tokens (   15.55 ms per token,    64.31 tokens per second)
39.58.992.285 I slot print_timing: id  0 | task 3197 |       total time =    2468.28 ms /   317 tokens
39.58.992.285 I slot print_timing: id  0 | task 3197 |    graphs reused =       3275
39.58.992.310 I slot      release: id  0 | task 3197 | stop processing: n_tokens = 316, truncated = 0
39.58.994.017 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.457 (> 0.100 thold), f_keep = 0.304
39.59.000.291 I slot launch_slot_: id  0 | task 3351 | processing task, is_child = 0
40.02.126.882 I slot print_timing: id  0 | task 3351 | n_gen =    194, tg =  64.28 t/s, tg_3s =  64.61 t/s
40.02.954.911 I slot print_timing: id  0 | task 3351 | prompt eval time =     123.94 ms /   210 tokens (    0.59 ms per token,  1694.42 tokens per second)
40.02.954.914 I slot print_timing: id  0 | task 3351 |        eval time =    3830.68 ms /   247 tokens (   15.57 ms per token,    64.22 tokens per second)
40.02.954.914 I slot print_timing: id  0 | task 3351 |       total time =    3954.61 ms /   457 tokens
40.02.954.914 I slot print_timing: id  0 | task 3351 |    graphs reused =       3519
40.02.954.943 I slot      release: id  0 | task 3351 | stop processing: n_tokens = 456, truncated = 0
40.02.956.154 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.593 (> 0.100 thold), f_keep = 0.211
40.02.963.099 I slot launch_slot_: id  0 | task 3599 | processing task, is_child = 0
40.05.477.951 I slot print_timing: id  0 | task 3599 | prompt eval time =     105.70 ms /   162 tokens (    0.65 ms per token,  1532.58 tokens per second)
40.05.477.953 I slot print_timing: id  0 | task 3599 |        eval time =    2409.14 ms /   156 tokens (   15.54 ms per token,    64.34 tokens per second)
40.05.477.953 I slot print_timing: id  0 | task 3599 |       total time =    2514.84 ms /   318 tokens
40.05.477.953 I slot print_timing: id  0 | task 3599 |    graphs reused =       3672
40.05.477.978 I slot      release: id  0 | task 3599 | stop processing: n_tokens = 317, truncated = 0
40.05.479.248 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.667 (> 0.100 thold), f_keep = 0.303
40.05.486.293 I slot launch_slot_: id  0 | task 3756 | processing task, is_child = 0
40.07.321.164 I slot print_timing: id  0 | task 3756 | prompt eval time =      90.24 ms /   144 tokens (    0.63 ms per token,  1595.73 tokens per second)
40.07.321.167 I slot print_timing: id  0 | task 3756 |        eval time =    1744.62 ms /   113 tokens (   15.58 ms per token,    64.20 tokens per second)
40.07.321.168 I slot print_timing: id  0 | task 3756 |       total time =    1834.86 ms /   257 tokens
40.07.321.168 I slot print_timing: id  0 | task 3756 |    graphs reused =       3783
40.07.321.181 I slot      release: id  0 | task 3756 | stop processing: n_tokens = 256, truncated = 0
40.07.322.340 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.615 (> 0.100 thold), f_keep = 0.375
40.07.326.758 I slot launch_slot_: id  0 | task 3870 | processing task, is_child = 0
40.09.818.289 I slot print_timing: id  0 | task 3870 | prompt eval time =      89.83 ms /   156 tokens (    0.58 ms per token,  1736.57 tokens per second)
40.09.818.294 I slot print_timing: id  0 | task 3870 |        eval time =    2401.69 ms /   156 tokens (   15.49 ms per token,    64.54 tokens per second)
40.09.818.295 I slot print_timing: id  0 | task 3870 |       total time =    2491.53 ms /   312 tokens
40.09.818.295 I slot print_timing: id  0 | task 3870 |    graphs reused =       3936
40.09.818.308 I slot      release: id  0 | task 3870 | stop processing: n_tokens = 311, truncated = 0
40.09.819.491 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.653 (> 0.100 thold), f_keep = 0.309
40.09.823.650 I slot launch_slot_: id  0 | task 4027 | processing task, is_child = 0
40.11.460.285 I slot print_timing: id  0 | task 4027 | prompt eval time =      89.84 ms /   147 tokens (    0.61 ms per token,  1636.19 tokens per second)
40.11.460.288 I slot print_timing: id  0 | task 4027 |        eval time =    1546.79 ms /   101 tokens (   15.47 ms per token,    64.65 tokens per second)
40.11.460.288 I slot print_timing: id  0 | task 4027 |       total time =    1636.63 ms /   248 tokens
40.11.460.288 I slot print_timing: id  0 | task 4027 |    graphs reused =       4035
40.11.460.304 I slot      release: id  0 | task 4027 | stop processing: n_tokens = 247, truncated = 0
40.11.461.495 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.497 (> 0.100 thold), f_keep = 0.389
40.11.464.529 I slot launch_slot_: id  0 | task 4129 | processing task, is_child = 0
40.14.519.933 I slot print_timing: id  0 | task 4129 | prompt eval time =     121.69 ms /   193 tokens (    0.63 ms per token,  1585.95 tokens per second)
40.14.519.937 I slot print_timing: id  0 | task 4129 |        eval time =    2933.70 ms /   190 tokens (   15.52 ms per token,    64.42 tokens per second)
40.14.519.938 I slot print_timing: id  0 | task 4129 |       total time =    3055.40 ms /   383 tokens
40.14.519.938 I slot print_timing: id  0 | task 4129 |    graphs reused =       4222
40.14.519.958 I slot      release: id  0 | task 4129 | stop processing: n_tokens = 382, truncated = 0
40.14.521.458 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.596 (> 0.100 thold), f_keep = 0.251
40.14.535.737 I slot launch_slot_: id  0 | task 4320 | processing task, is_child = 0
40.17.648.256 I slot print_timing: id  0 | task 4320 | n_gen =    195, tg =  64.51 t/s, tg_3s =  64.84 t/s
40.18.535.434 I slot print_timing: id  0 | task 4320 | prompt eval time =     105.24 ms /   161 tokens (    0.65 ms per token,  1529.81 tokens per second)
40.18.535.437 I slot print_timing: id  0 | task 4320 |        eval time =    3894.45 ms /   252 tokens (   15.52 ms per token,    64.45 tokens per second)
40.18.535.437 I slot print_timing: id  0 | task 4320 |       total time =    3999.69 ms /   413 tokens
40.18.535.437 I slot print_timing: id  0 | task 4320 |    graphs reused =       4471
40.18.535.452 I slot      release: id  0 | task 4320 | stop processing: n_tokens = 412, truncated = 0
40.18.536.678 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.536 (> 0.100 thold), f_keep = 0.233
40.18.542.757 I slot launch_slot_: id  0 | task 4573 | processing task, is_child = 0
40.21.347.755 I slot print_timing: id  0 | task 4573 | prompt eval time =     107.08 ms /   179 tokens (    0.60 ms per token,  1671.58 tokens per second)
40.21.347.760 I slot print_timing: id  0 | task 4573 |        eval time =    2697.91 ms /   175 tokens (   15.51 ms per token,    64.49 tokens per second)
40.21.347.760 I slot print_timing: id  0 | task 4573 |       total time =    2804.99 ms /   354 tokens
40.21.347.761 I slot print_timing: id  0 | task 4573 |    graphs reused =       4643
40.21.347.774 I slot      release: id  0 | task 4573 | stop processing: n_tokens = 353, truncated = 0
40.21.349.009 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.490 (> 0.100 thold), f_keep = 0.272
40.21.360.281 I slot launch_slot_: id  0 | task 4749 | processing task, is_child = 0
40.24.495.707 I slot print_timing: id  0 | task 4749 | n_gen =    195, tg =  64.38 t/s, tg_3s =  64.71 t/s
40.27.505.198 I slot print_timing: id  0 | task 4749 | n_gen =    387, tg =  64.09 t/s, tg_3s =  63.80 t/s
40.27.581.655 I slot print_timing: id  0 | task 4749 | prompt eval time =     122.11 ms /   196 tokens (    0.62 ms per token,  1605.12 tokens per second)
40.27.581.658 I slot print_timing: id  0 | task 4749 |        eval time =    6099.26 ms /   392 tokens (   15.60 ms per token,    64.11 tokens per second)
40.27.581.659 I slot print_timing: id  0 | task 4749 |       total time =    6221.36 ms /   588 tokens
40.27.581.659 I slot print_timing: id  0 | task 4749 |    graphs reused =       5031
40.27.581.675 I slot      release: id  0 | task 4749 | stop processing: n_tokens = 587, truncated = 0
40.27.583.765 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.558 (> 0.100 thold), f_keep = 0.164
40.27.591.393 I slot launch_slot_: id  0 | task 5142 | processing task, is_child = 0
40.30.707.905 I slot print_timing: id  0 | task 5142 | n_gen =    195, tg =  64.43 t/s, tg_3s =  64.76 t/s
40.33.025.999 I slot print_timing: id  0 | task 5142 | prompt eval time =     105.44 ms /   172 tokens (    0.61 ms per token,  1631.20 tokens per second)
40.33.026.002 I slot print_timing: id  0 | task 5142 |        eval time =    5329.15 ms /   343 tokens (   15.58 ms per token,    64.18 tokens per second)
40.33.026.003 I slot print_timing: id  0 | task 5142 |       total time =    5434.59 ms /   515 tokens
40.33.026.003 I slot print_timing: id  0 | task 5142 |    graphs reused =       5370
40.33.026.018 I slot      release: id  0 | task 5142 | stop processing: n_tokens = 514, truncated = 0
40.33.027.234 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.409 (> 0.100 thold), f_keep = 0.187
40.33.035.552 I slot launch_slot_: id  0 | task 5486 | processing task, is_child = 0
40.36.191.054 I slot print_timing: id  0 | task 5486 | n_gen =    195, tg =  64.44 t/s, tg_3s =  64.78 t/s
40.39.168.551 I slot print_timing: id  0 | task 5486 | prompt eval time =     145.07 ms /   235 tokens (    0.62 ms per token,  1619.91 tokens per second)
40.39.168.557 I slot print_timing: id  0 | task 5486 |        eval time =    5987.92 ms /   385 tokens (   15.59 ms per token,    64.13 tokens per second)
40.39.168.557 I slot print_timing: id  0 | task 5486 |       total time =    6132.99 ms /   620 tokens
40.39.168.557 I slot print_timing: id  0 | task 5486 |    graphs reused =       5751
40.39.168.593 I slot      release: id  0 | task 5486 | stop processing: n_tokens = 619, truncated = 0
40.39.171.220 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.571 (> 0.100 thold), f_keep = 0.155
40.39.183.373 I slot launch_slot_: id  0 | task 5872 | processing task, is_child = 0
